name,description,image,tags,id,time
"

Pollo arrosto con burro all'arancia e rosmarino",": 

• 1 cipolla grande
• Burro 
• Rosmarino 
• Succo e scorza di 1 arancia 
• Sale e pepe q.b. 
• 1 pollo 
• Carote 
• Sedano 
• 2 cipolline 
• Vino bianco 
• Brodo 

Procedimento:

1. Preriscaldare il forno a 400 ° F (200 ° C).
2. Mettere nel tritacarne 1 cipolla, rosmarino, succo d'arancia e scorza. Mescolare con burro, sale e pepe. Mettere da parte.
3. Asciugare il pollo con le dita. Sollevare la pelle dalle cosce, dalle ali e dalle gambe del pollo, e distribuire la metà della miscela di burro di arancia intorno al petto.
4. Legare insieme le gambe del pollo per mantenere la forma. Cospargere con il sale e il pepe, e stendere la miscela di burro rimanente su tutta la superficie del pollo.
5. Preparare una padella grande con un rack. Mettere il pollo con il petto rivolto verso l'alto su un rack e aggiungere alla padella un collo di pollo, cuore, carote, sedano e 2 cipolline.
6. Infornare il pollo per circa 1 ora e 40 minuti, fino a quando un termometro da cucina inserito nelle regioni interne della coscia raggiunge 180°F. Assicurarsi di girare periodicamente le verdure nel fondo della teglia.
7. Quando il pollo è pronto, rimuoverlo e metterlo da parte.
8. Mettere la teglia con i residui sul fuoco e aggiungere vino bianco. Farlo evaporare, grattando eventualmente i residui di carne sul fondo del piatto, quindi aggiungere il brodo.
9. Lasciare cuocere fino a quando il sugo si riduce a 1 ½ tazze, mescolando spesso. Scolare il sugo in un bicchiere da 2 tazze e rimuovere eventuali residui solidi.
10. Condire il sugo con sale e pepe, ed eventualmente aggiungere un po' di burro al suo interno se necessario per renderlo più saporito.
11. Tagliare il pollo a metà e servire con il sugo.",https://oaidalleapiprodscus.blob.core.windows.net/private/org-hap0lN10kL9bXjWOfqoYjjLj/user-YOcc0IgubtOlOoHDlRtoiOs1/img-fEKo7Apdx75T9Wo1qhea1LqU.png?st=2023-01-24T17%3A06%3A21Z&se=2023-01-24T19%3A06%3A21Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-01-24T15%3A18%3A53Z&ske=2023-01-25T15%3A18%3A53Z&sks=b&skv=2021-08-06&sig=ngpYQqbZa1lG/QkkszUlfQa1L1RlxjRCqHtYitWW2RE%3D,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'dietary', 'low-carb', 'low-in-something', 'main-dish', 'meat', 'poultry', 'chicken', '4-hours-or-less', 'low-sodium', 'whole-chicken']",6573,main
"

Petti di pollo ripieni di formaggio cremoso avvolti in bacon.",":

-petto di pollo
-crema di formaggio
-cipolle verdi
-bacon
-bastoncini da spiedo

Istruzioni:

1. Sbattere il petto di pollo finché non è spesso 1,25 cm.

2. Mischiare insieme la crema di formaggio e le cipolle verdi. Distribuire su un lato del petto di pollo.

3. Arrotolare il petto di pollo in modo da coprire la miscela di formaggio.

4. Avvolgere il bacon parzialmente cotto attorno al petto di pollo e assicurare con un bastoncino da spiedo.

5. Trasferire il petto di pollo su una teglia da forno e cuocere a 375 gradi per circa 30 minuti.

6. Passare sotto il grill per 5 minuti per addensare il bacon. Servire caldo.",,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'dietary', 'low-carb', 'low-in-something', 'number-of-servings', '60-minutes-or-less', 'main-dish', 'easy', 'meat', 'poultry', 'chicken', 'high-protein', 'high-in-something', 'chicken-breasts', '5-ingredients-or-less', 'beginner-cook', 'for-1-or-2']",421,main
"

Petto di pollo alla griglia greca","

Ingredienti:

-Succo di limone
-Olio di oliva
-Prezzemolo 
-Aglio
-Origano
-Pollo
-Sale
-Pepe

Ricetta:

1. Prendere una grande busta di plastica e aggiungere il succo di limone, l'olio di oliva, il prezzemolo, l'aglio e l'origano. 

2. Infilzare il pollo con una forchetta più volte e cospargerlo di sale e pepe. 

3. Aggiungere il pollo alla busta di plastica e ricoprirlo con le erbe e l'olio di oliva. Lasciare marinare per 20 minuti. 

4. Rimuovere il pollo dalla busta e cuocerlo alla griglia o sotto il grill per 6 minuti per lato. 

5. Se non si dispone di un grill, il pollo può essere preparato in una padella in un wok su fuoco medio-alto per 5-6 minuti per lato finché sarà cotto. 

6. Servire caldo.",,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'dietary', 'low-carb', 'low-in-something', 'equipment', 'main-dish', 'easy', 'meat', 'poultry', 'chicken', 'high-protein', 'high-in-something', 'chicken-breasts', 'low-sodium', 'low-saturated-fat', 'barbecue', 'grilling', 'healthy', 'beginner-cook']",3673,main
"

Petto di pollo alla griglia","

Ingredienti: 
1 bistecca di maiale di circa 12 once
2 cucchiaini di sale
1 cucchiaino di pepe
3 cucchiai di olio d'oliva

Preparazione:
1. Battete leggermente la bistecca con un cucchiaio o un mattarello per assicurarvi che sia di spessore uniforme.
2. Cospargete la bistecca con sale e pepe, mescolando per assicurarvi che sia ben condita.
3. Spennellate l'olio su una piastra George Foreman.
4. Mettete la bistecca sulla piastra e cuocetela per 8 minuti, girandola a metà cottura per assicurarvi entrambi i lati della bistecca siano ben cotti.
5. Togliete dal grill e servite.",https://oaidalleapiprodscus.blob.core.windows.net/private/org-hap0lN10kL9bXjWOfqoYjjLj/user-YOcc0IgubtOlOoHDlRtoiOs1/img-f7CYMDwlwPy8bro7iOXyF3BF.png?st=2023-01-24T17%3A07%3A10Z&se=2023-01-24T19%3A07%3A10Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-01-24T15%3A57%3A13Z&ske=2023-01-25T15%3A57%3A13Z&sks=b&skv=2021-08-06&sig=GwPDki07nMfJodZeoDY8ffT6ZsJBR6qFJcoIrNAXttM%3D,"['time-to-make', 'main-ingredient', 'preparation', 'very-low-carbs', 'dietary', 'low-carb', 'low-in-something', 'easy', 'meat', 'poultry', 'chicken', 'high-protein', 'high-in-something', '5-ingredients-or-less', '15-minutes-or-less', '3-steps-or-less']",3760,
"

Crema di zuppa di pollo","

Ingredienti:
- Petto di pollo 
- Olio d'oliva 
- 1 lattina di brodo 
- 2 lattine di minestra concentrata 
- Riso o patate

Istruzioni:
1. Metti un po' d'olio in una padella grande e scaldalo.
2. Aggiungi il petto di pollo e cuocilo finchè non sarà cotto.
3. Aggiungi i concentrati di zuppa e una lattina di brodo. 
4. Porta tutto a bollore e abbassa la fiamma, lasciando cuocere a fuoco lento finché il sugo non si sarà addensato.
5. Condiscilo con sale e pepe e passalo. 
6. Servi con riso o patate lesse.",https://oaidalleapiprodscus.blob.core.windows.net/private/org-hap0lN10kL9bXjWOfqoYjjLj/user-YOcc0IgubtOlOoHDlRtoiOs1/img-1SBTrUHieCHYun0S9q4FaEtu.png?st=2023-01-24T17%3A07%3A11Z&se=2023-01-24T19%3A07%3A11Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-01-24T16%3A33%3A24Z&ske=2023-01-25T16%3A33%3A24Z&sks=b&skv=2021-08-06&sig=Ik9vrTg1EL5p0tbAKXQzoRSthQMnghhCw5rLHHlnlNs%3D,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'stove-top', 'dietary', 'low-carb', 'low-in-something', 'equipment', '60-minutes-or-less', 'main-dish', 'meat', 'poultry', 'chicken', 'low-saturated-fat', 'low-cholesterol', 'low-calorie', 'healthy-2', 'crock-pot-slow-cooker', 'soups-stews', 'bisques-cream-soups']",2296,
"

Salsa crema di interiora",":

• Giblets di tacchino
6 tazze di acqua
• 3 ½ tazze di brodo di pollo
• Carote
• Cipolla
• Sedano
• Foglia di alloro
• 5 cucchiai di burro
• 5 cucchiai di farina
• Panna
• Succo di pane di tacchino fino a 1 tazza
• Sale
• Pepe

Procedure:

1. Mettere i giblets in una grande pentola aggiungere 6 tazze di acqua, 3 ½ tazze di brodo di pollo, carote, cipolla, sedano e una foglia di alloro.

2. Far bollire a fuoco medio finché il brodo si riduce a circa 3 tazze.

3. Filtrare il brodo in una ciotola e tritare i giblets.

4. Sciogliere 5 cucchiai di burro in una grande pentola pesante a fuoco medio.

5. Aggiungere 5 cucchiai di farina e mescolare per 2 minuti.

6. Aggiungere gradualmente il brodo di tacchino, la panna e fino a 1 tazza di succo di pane di tacchino.

7. Far sobbollire la salsa finché non raggiunge la consistenza desiderata, mescolando di tanto in tanto.

8. Aggiungere i giblets tritati e condire con sale e pepe.",https://oaidalleapiprodscus.blob.core.windows.net/private/org-hap0lN10kL9bXjWOfqoYjjLj/user-YOcc0IgubtOlOoHDlRtoiOs1/img-qFVjmZJB3vODUqTmbfHJAxON.png?st=2023-01-24T17%3A07%3A15Z&se=2023-01-24T19%3A07%3A15Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-01-24T16%3A07%3A39Z&ske=2023-01-25T16%3A07%3A39Z&sks=b&skv=2021-08-06&sig=WXdPwlOtepU9JtrumtTV1uPK80wl2L1lIcVekHwni7g%3D,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'stove-top', 'dietary', 'low-carb', 'low-in-something', 'equipment', 'number-of-servings', 'meat', 'side-dishes', 'poultry', '4-hours-or-less', 'occasion', 'low-sodium', 'low-protein', 'vegetables', 'low-cholesterol', 'low-calorie', 'healthy-2', 'healthy', 'holiday-event', 'taste-mood', 'comfort-food', 'weeknight', 'carrots', 'thanksgiving', 'onions', 'easter', 'christmas']",3560,
"

Wraps di pollo orientale"," necessari

Ingredienti:
- 2 petto di pollo 
- pangrattato 
- 2 cucchiai di salsa di soia 
- 1 porro 
- 2 cucchiaini di pepe in polvere 
- 4 fette di bacon 

Preparazione:

1. In una ciotola, mescolare la salsa di soia, il porro e il pepe in polvere. 

2. Taglia ogni petto di pollo a strisce lunghe e poi dimezzale. 

3. Metti le strisce di pollo nella ciotola e versa la marinata di soia. Copri con pellicola e metti in frigorifero per tutta la notte, ricordandoti di capovolgere la ciotola di tanto in tanto. 

4. Taglia le fette di bacon a metà.

5. Tolgi le strisce di pollo dalla marinata e arrotola ogni striscia di pollo con mezza fetta di bacon. Fissalo con uno spiedino. 

6. Metti i bastoncini di pollo in una pirofila da forno. 

7. Inforna a 350°F (180°C) per 30 minuti o finché il pollo e il bacon siano cotti. 

8. Servi accompagnato con una salsa piccante o salsa agrodolce.",https://oaidalleapiprodscus.blob.core.windows.net/private/org-hap0lN10kL9bXjWOfqoYjjLj/user-YOcc0IgubtOlOoHDlRtoiOs1/img-eqbCKosXjzFYm74t2CdyOW9U.png?st=2023-01-24T17%3A07%3A16Z&se=2023-01-24T19%3A07%3A16Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-01-24T16%3A00%3A08Z&ske=2023-01-25T16%3A00%3A08Z&sks=b&skv=2021-08-06&sig=fW0VU/D9OnHuj7f6OTCXrav%2Bs0HOEq24tzibBmVilhY%3D,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'dietary', 'low-carb', 'low-in-something', 'equipment', 'number-of-servings', 'for-large-groups', 'lunch', 'meat', 'appetizers', 'side-dishes', 'poultry', 'chicken', 'high-protein', 'high-in-something', 'occasion', 'oven', 'dinner-party', 'cuisine', 'holiday-event', 'weeknight', 'asian', '1-day-or-more']",5715,
"

Crock Pot tajine marocchino","

- 400 gr di ""thaw lamb trim excess fat"", tagliato a cubetti
- 2 spicchi d'aglio tritato
- 2 cipolle a fette sottili
- 1 cucchiaino di cumino
- 1 cucchiaino di paprika
- 1 cucchiaino di zenzero
- 1 cucchiaino di cannella
- 1 cucchiaino di allspice
- Sale q.b.
- 1 pizzico di peperoncino macinato
- 2 carote a cubetti
- 50 gr di zucca a cubetti
- 2 tazze di brodo di carne
- 2 cucchiai di olive verdi
- 200 gr di ceci

Preparazione:

1. In una pentola a cottura lenta o in una pentola a pressione, mescolare l'aglio tritato, le cipolle a fette sottili, il cumino, la paprika, lo zenzero, la cannella, l'allspice, il sale, il peperoncino macinato, le carote a cubetti e la zucca a cubetti.

2. Aggiungere il brodo di carne, i cubetti di carne e le olive verdi.

3. Ricoprire e cuocere a forte calore per 5 ore o a calore lento per 9-10 ore.

4. Durante l'ultimo quarto d'ora di cottura, aggiungere i ceci.

5. Servire caldo su del couscous o con del pane croccante.

Conservazione:

Il tajine può essere conservato in frigorifero coperto per almeno 2 giorni e può anche essere congelato in un contenitore ermetico o un sacchetto per congelatore.",https://oaidalleapiprodscus.blob.core.windows.net/private/org-hap0lN10kL9bXjWOfqoYjjLj/user-YOcc0IgubtOlOoHDlRtoiOs1/img-dUsiNJlsDTnxWnDKDV6B3TsB.png?st=2023-01-24T17%3A07%3A17Z&se=2023-01-24T19%3A07%3A17Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-01-24T16%3A14%3A48Z&ske=2023-01-25T16%3A14%3A48Z&sks=b&skv=2021-08-06&sig=A9lxkZAXaGzieXN%2BHtxuWLlTsrp8dyWQhY2UH87Y5OY%3D,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'dietary', 'low-carb', 'low-in-something', 'equipment', 'main-dish', 'beef', 'meat', 'poultry', 'chicken', 'occasion', 'low-sodium', 'low-saturated-fat', 'cuisine', 'low-calorie', 'taste-mood', 'spicy', 'weeknight', 'crock-pot-slow-cooker', 'beans', 'one-dish-meal', 'african', 'stews', 'lamb-sheep', 'moroccan', 'black-beans']",5387,
"

Petto di pollo marinato italiano searo con pomodori e basilico","

Ingredienti:

– 2 cucchiai di olio d'oliva

– 1 spicchio d'aglio tritato

– 2 rametti di rosmarino fresco tritato

– 2 rametti di salvia fresca tritata

– Sale e pepe q.b.

– 900 g di petto di pollo

– 3 cucchiai di olio d'oliva

– 2 spicchi d'aglio tritati

– 400 g di passata di pomodoro

– Un pizzico di peperoncino

– 4 foglie di basilico fresco tritato

Procedimento:

1. In una ciotola piccola, mescolare l'olio d'oliva, l'aglio tritato, il rosmarino, la salvia e un pizzico di sale e pepe.

2. Tagliare i petti di pollo a fettine sottili sull'angolo e schiacciarli leggermente. Mettere i petti di pollo in un piatto fondo in ceramica o in vetro e versare sopra la marinata, coprire e riporre in frigo per almeno 8 ore, girandoli di tanto in tanto.

3. In una padella di medie dimensioni, scaldare tre cucchiai di olio d'oliva a fuoco medio. Aggiungere l'aglio tritato e far soffriggere per circa 4 minuti o fino a che non sia dorato.

4. Aggiungere la passata di pomodoro e le foglie di basilico tritate, un pizzico di peperoncino e un pizzico di sale e pepe. Cuocere a fuoco lento mescolando di tanto in tanto per circa 5 minuti. Coprire e tenere la salsa in caldo.

5. Scolare la carne dalla marinata, scartandola. Scaldare una padella capiente a fuoco medio-alto. Aggiungere la carne e cuocere fino a doratura su entrambi i lati e fino a che la carne non sia cotta al punto giusto, da 5 a 10 minuti.

6. Mettere la carne in un grande piatto da servizio caldo. Aggiungere l'ultimo cucchiaio di olio d'oliva alla salsa di pomodoro e versare sopra la carne. Spolverare con le foglie di basilico rimaste e servire subito.",https://oaidalleapiprodscus.blob.core.windows.net/private/org-hap0lN10kL9bXjWOfqoYjjLj/user-YOcc0IgubtOlOoHDlRtoiOs1/img-LBfIQvk0VLyYuTc3OXYA5wqN.png?st=2023-01-24T17%3A07%3A22Z&se=2023-01-24T19%3A07%3A22Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-01-24T16%3A12%3A24Z&ske=2023-01-25T16%3A12%3A24Z&sks=b&skv=2021-08-06&sig=1DxMRhCxsU12Z6POjDL6FP0UUMehjucrtJq%2BzMPQTXo%3D,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'dietary', 'low-carb', 'low-in-something', 'lunch', 'main-dish', 'meat', 'poultry', 'chicken', 'chicken-breasts', '4-hours-or-less', 'occasion', 'dinner-party', 'low-sodium', 'cuisine', 'vegetables', 'european', 'italian', 'tomatoes']",7070,
"

Pollo in salsa di funghi di soia",":

- Funghi
- Acqua bollente
- Sale
- Olio di sesamo
- Pollo
- Zenzero
- Riso e vino di riso
- Bok Choy
- Brodo
- Amid di mais

RICETTA

1. Lasciare i funghi a bagno in una piccola tazza di acqua bollente, condendo con un pizzico di sale, per circa 20 minuti, scolare e filtrare sia l'acqua che i funghi, tenendo da parte l'acqua.

2. Eliminare il gambo dei funghi e affettarli sottilmente.

3. Preparare una marinata mescolando il riso e vino di riso, l'olio di sesamo e lo zenzero, e aggiungendo il pollo successivamente per dargli il tempo di insaporirsi.

4. Marinarlo in frigo per almeno un'ora.

5. In una pentola, portare l'acqua a ebollizione e mettere un cestello (bambù) sopra di essa.

6. Coprire questo cestello con un foglio di carta forno.

7. Mettere il pollo con la marinata nell'interno del cestello e rimettere il coperchio.

8. Lasciare cuocere fino a che non sarà cotto.

9. Nel frattempo lavare bene il Bok Choy per rimuovere tutte le impurità, tritarlo e aggiungerlo al pollo.

10. Far rosolare il tutto per altri 3 minuti.

11. Mescolare la marinata con l'acqua dei funghi e aggiungerla in una casseruola di piccole dimensioni.

12. Far bollire per 2/3 minuti.

13. Preparare una pastella con il brodo e l'amido di mais e aggiungerla alla casseruola.

14. Lasciar sobbollire a fuoco medio per altri 2 minuti.

15. Servire il riso su un letto di Bok Choy con l'arrosto di pollo a fianco e decorarlo con i funghi ed un giro di salsa.",https://oaidalleapiprodscus.blob.core.windows.net/private/org-hap0lN10kL9bXjWOfqoYjjLj/user-YOcc0IgubtOlOoHDlRtoiOs1/img-NDpykcj0a84uUAfhpEpALH4z.png?st=2023-01-24T17%3A07%3A23Z&se=2023-01-24T19%3A07%3A23Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-01-24T13%3A56%3A45Z&ske=2023-01-25T13%3A56%3A45Z&sks=b&skv=2021-08-06&sig=TUo6A2iYzDM0JRWvJ%2BZGJldO88S5pDzdZ3/e0hCS4NI%3D,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'stove-top', 'dietary', 'low-carb', 'low-in-something', 'equipment', 'main-dish', 'meat', 'poultry', 'chicken', 'chicken-breasts', '4-hours-or-less', 'cuisine', 'vegetables', 'low-calorie', 'greens', 'presentation', 'served-hot', 'asian', 'technique', 'steam', 'bok-choys']",1707,
